cod_ine,rango_edad,sexo,fecha,decesos
30801,>= 60,F,2022-01-13,5
30801,>= 60,F,2022-01-20,4
30801,>= 60,F,2022-01-27,3
30801,>= 60,F,2022-02-03,3
30801,>= 60,F,2022-02-17,1
30801,>= 60,F,2022-03-03,3
30801,>= 60,F,2022-03-17,2
30801,>= 60,F,2022-03-31,3
30801,>= 60,F,2022-04-07,2
30801,>= 60,F,2022-05-05,2
30801,>= 60,F,2022-05-19,1
30801,>= 60,F,2022-06-02,1
30801,>= 60,F,2022-06-09,4
30801,>= 60,F,2022-06-23,1
30801,>= 60,F,2022-06-30,1
30801,>= 60,F,2022-07-07,2
30801,>= 60,F,2022-07-14,3
30801,>= 60,F,2022-08-04,2
30801,>= 60,F,2022-08-11,1
30801,>= 60,F,2022-08-25,1
30801,>= 60,F,2022-09-08,1
30801,>= 60,F,2022-09-29,2
30801,>= 60,F,2022-10-13,1
30801,>= 60,F,2022-10-27,1
30801,>= 60,F,2022-11-03,2
30801,>= 60,F,2022-11-10,2
30801,>= 60,F,2022-11-17,1
30801,>= 60,F,2022-11-24,1
30801,>= 60,F,2022-12-08,4
30801,>= 60,F,2022-12-15,2
30801,>= 60,F,2022-12-22,1
30801,>= 60,F,2023-01-05,1
30801,>= 60,F,2023-01-12,3
30801,>= 60,F,2023-01-19,1
30801,>= 60,F,2023-01-26,1
30801,>= 60,F,2023-02-02,2
30801,>= 60,F,2023-02-09,1
30801,>= 60,F,2023-02-16,3
30801,>= 60,F,2023-02-23,1
30801,>= 60,F,2023-03-02,2
30801,>= 60,F,2023-03-09,1
30801,>= 60,F,2023-03-23,1
30801,>= 60,F,2023-03-30,2
30801,>= 60,F,2023-04-13,1
30801,>= 60,F,2023-04-20,2
30801,>= 60,F,2023-05-04,2
30801,>= 60,F,2023-05-11,1
30801,>= 60,F,2023-05-18,4
30801,>= 60,F,2023-05-25,4
30801,>= 60,F,2023-06-01,2
30801,>= 60,F,2023-06-08,2
30801,>= 60,F,2023-06-22,2
30801,>= 60,F,2023-06-29,2
30801,>= 60,F,2023-07-06,1
30801,>= 60,F,2023-07-13,2
30801,>= 60,F,2023-07-20,2
30801,>= 60,F,2023-07-27,1
30801,>= 60,M,2017-01-05,1
30801,>= 60,M,2017-01-12,1
30801,>= 60,M,2017-02-09,1
30801,>= 60,M,2017-02-16,2
30801,>= 60,M,2017-02-23,2
30801,>= 60,M,2017-03-02,1
30801,>= 60,M,2017-03-23,2
30801,>= 60,M,2017-03-30,1
30801,>= 60,M,2017-04-13,2
30801,>= 60,M,2017-04-20,1
30801,>= 60,M,2017-05-11,1
30801,>= 60,M,2017-06-29,3
30801,>= 60,M,2017-07-27,1
30801,>= 60,M,2017-08-31,4
30801,>= 60,M,2017-09-28,7
30801,>= 60,M,2017-10-26,3
30801,>= 60,M,2017-11-30,7
30801,>= 60,M,2017-12-28,3
30801,>= 60,M,2018-01-04,1
30801,>= 60,M,2018-01-25,1
30801,>= 60,M,2018-02-08,1
30801,>= 60,M,2018-03-15,1
30801,>= 60,M,2018-03-29,2
30801,>= 60,M,2018-04-12,1
30801,>= 60,M,2018-04-19,1
30801,>= 60,M,2018-05-17,1
30801,>= 60,M,2018-05-31,1
30801,>= 60,M,2018-06-14,4
30801,>= 60,M,2018-06-28,2
30801,>= 60,M,2018-07-05,3
30801,>= 60,M,2018-07-12,1
30801,>= 60,M,2018-07-19,3
30801,>= 60,M,2018-07-26,3
30801,>= 60,M,2018-08-02,3
30801,>= 60,M,2018-08-16,1
30801,>= 60,M,2018-09-13,1
30801,>= 60,M,2018-09-27,1
30801,>= 60,M,2018-10-11,1
30801,>= 60,M,2018-10-25,1
30801,>= 60,M,2018-11-08,2
30801,>= 60,M,2018-11-15,1
30801,>= 60,M,2018-12-06,2
30801,>= 60,M,2018-12-13,1
30801,>= 60,M,2018-12-20,2
30801,>= 60,M,2018-12-27,2
30801,>= 60,M,2019-01-10,1
30801,>= 60,M,2019-01-24,1
30801,>= 60,M,2019-01-31,1
30801,>= 60,M,2019-02-07,1
30801,>= 60,M,2019-03-07,1
30801,>= 60,M,2019-03-14,3
30801,>= 60,M,2019-04-04,2
30801,>= 60,M,2019-04-18,3
30801,>= 60,M,2019-05-02,1
30801,>= 60,M,2019-05-09,1
30801,>= 60,M,2019-05-16,1
30801,>= 60,M,2019-06-27,2
30801,>= 60,M,2019-07-04,1
30801,>= 60,M,2019-07-11,1
30801,>= 60,M,2019-08-08,1
30801,>= 60,M,2019-08-15,1
30801,>= 60,M,2019-09-19,1
30801,>= 60,M,2019-09-26,1
30801,>= 60,M,2019-10-10,1
30801,>= 60,M,2019-10-24,1
30801,>= 60,M,2019-10-31,1
30801,>= 60,M,2019-11-07,1
30801,>= 60,M,2019-11-14,1
30801,>= 60,M,2019-12-05,2
30801,>= 60,M,2020-01-23,1
30801,>= 60,M,2020-02-06,1
30801,>= 60,M,2020-02-13,3
30801,>= 60,M,2020-02-27,1
30801,>= 60,M,2020-03-05,1
30801,>= 60,M,2020-03-12,1
30801,>= 60,M,2020-03-19,2
30801,>= 60,M,2020-03-26,1
30801,>= 60,M,2020-04-02,1
30801,>= 60,M,2020-04-09,1
30801,>= 60,M,2020-05-14,1
30801,>= 60,M,2020-05-28,1
30801,>= 60,M,2020-06-04,1
30801,>= 60,M,2020-06-11,3
30801,>= 60,M,2020-06-25,2
30801,>= 60,M,2020-07-09,1
30801,>= 60,M,2020-07-16,1
30801,>= 60,M,2020-07-23,3
30801,>= 60,M,2020-07-30,1
30801,>= 60,M,2020-08-13,1
30801,>= 60,M,2020-08-20,1
30801,>= 60,M,2020-09-03,2
30801,>= 60,M,2020-09-10,2
30801,>= 60,M,2020-09-17,2
30801,>= 60,M,2020-09-24,3
30801,>= 60,M,2020-10-01,3
30801,>= 60,M,2020-10-08,1
30801,>= 60,M,2020-10-22,3
30801,>= 60,M,2020-10-29,1
30801,>= 60,M,2020-11-26,5
30801,>= 60,M,2020-12-10,1
30801,>= 60,M,2020-12-24,1
30801,>= 60,M,2021-01-21,1
30801,>= 60,M,2021-01-28,1
30801,>= 60,M,2021-02-04,3
30801,>= 60,M,2021-02-25,2
30801,>= 60,M,2021-03-04,1
30801,>= 60,M,2021-03-11,1
30801,>= 60,M,2021-03-18,3
30801,>= 60,M,2021-03-25,1
30801,>= 60,M,2021-04-01,1
30801,>= 60,M,2021-04-15,2
30801,>= 60,M,2021-04-22,2
30801,>= 60,M,2021-05-06,4
30801,>= 60,M,2021-05-20,2
30801,>= 60,M,2021-05-27,4
30801,>= 60,M,2021-06-03,3
30801,>= 60,M,2021-06-10,9
30801,>= 60,M,2021-06-17,7
30801,>= 60,M,2021-06-24,3
30801,>= 60,M,2021-07-01,2
30801,>= 60,M,2021-07-08,1
30801,>= 60,M,2021-07-15,2
30801,>= 60,M,2021-07-22,1
30801,>= 60,M,2021-07-29,1
30801,>= 60,M,2021-08-05,2
30801,>= 60,M,2021-08-12,2
30801,>= 60,M,2021-08-19,1
30801,>= 60,M,2021-08-26,2
30801,>= 60,M,2021-09-02,1
30801,>= 60,M,2021-09-09,1
30801,>= 60,M,2021-09-23,2
30801,>= 60,M,2021-09-30,1
30801,>= 60,M,2021-10-07,1
30801,>= 60,M,2021-10-28,1
30801,>= 60,M,2021-11-11,1
30801,>= 60,M,2021-11-18,1
30801,>= 60,M,2021-11-25,2
30801,>= 60,M,2021-12-02,1
30801,>= 60,M,2021-12-09,2
30801,>= 60,M,2021-12-16,2
30801,>= 60,M,2021-12-23,2
30801,>= 60,M,2021-12-30,5
30801,>= 60,M,2022-01-06,1
30801,>= 60,M,2022-01-13,1
30801,>= 60,M,2022-01-20,5
30801,>= 60,M,2022-02-03,1
30801,>= 60,M,2022-02-10,3
30801,>= 60,M,2022-02-17,1
30801,>= 60,M,2022-02-24,2
30801,>= 60,M,2022-03-03,3
30801,>= 60,M,2022-03-17,3
30801,>= 60,M,2022-03-24,2
30801,>= 60,M,2022-04-07,2
30801,>= 60,M,2022-04-14,2
30801,>= 60,M,2022-04-28,1
30801,>= 60,M,2022-05-05,1
30801,>= 60,M,2022-05-12,1
30801,>= 60,M,2022-05-19,2
30801,>= 60,M,2022-05-26,1
30801,>= 60,M,2022-06-23,1
30801,>= 60,M,2022-07-07,1
30801,>= 60,M,2022-07-21,2
30801,>= 60,M,2022-07-28,1
30801,>= 60,M,2022-08-04,2
30801,>= 60,M,2022-08-18,4
30801,>= 60,M,2022-08-25,1
30801,>= 60,M,2022-09-01,2
30801,>= 60,M,2022-09-15,1
30801,>= 60,M,2022-09-29,2
30801,>= 60,M,2022-10-06,1
30801,>= 60,M,2022-10-13,1
30801,>= 60,M,2022-10-20,1
30801,>= 60,M,2022-11-03,1
30801,>= 60,M,2022-11-10,4
30801,>= 60,M,2022-11-17,1
30801,>= 60,M,2022-11-24,1
30801,>= 60,M,2022-12-01,1
30801,>= 60,M,2022-12-08,4
30801,>= 60,M,2022-12-22,1
30801,>= 60,M,2023-01-12,1
30801,>= 60,M,2023-02-02,1
30801,>= 60,M,2023-02-09,2
30801,>= 60,M,2023-02-16,2
30801,>= 60,M,2023-02-23,1
30801,>= 60,M,2023-03-09,2
30801,>= 60,M,2023-03-16,4
30801,>= 60,M,2023-03-23,3
30801,>= 60,M,2023-03-30,2
30801,>= 60,M,2023-04-06,1
30801,>= 60,M,2023-04-27,1
30801,>= 60,M,2023-05-11,1
30801,>= 60,M,2023-05-18,2
30801,>= 60,M,2023-05-25,3
30801,>= 60,M,2023-06-01,4
30801,>= 60,M,2023-06-08,2
30801,>= 60,M,2023-06-15,2
30801,>= 60,M,2023-06-22,3
30801,>= 60,M,2023-06-29,2
30801,>= 60,M,2023-07-13,1
30801,>= 60,M,2023-07-27,1
30802,0-19,F,2023-01-12,1
30802,0-19,M,2022-12-29,1
30802,20-39,F,2019-02-21,1
30802,20-39,F,2021-04-22,1
30802,20-39,F,2022-04-21,1
30802,20-39,F,2022-07-07,1
30802,20-39,F,2023-01-19,1
30802,20-39,F,2023-05-04,1
30802,20-39,M,2019-05-16,1
30802,20-39,M,2019-12-12,1
30802,20-39,M,2021-07-01,1
30802,20-39,M,2022-08-25,1
30802,20-39,M,2022-12-22,1
30802,40-49,M,2021-10-28,1
30802,50-59,F,2021-01-21,1
30802,50-59,F,2021-11-25,1
30802,50-59,F,2022-01-20,1
30802,50-59,M,2021-06-17,2
30802,50-59,M,2021-06-24,1
30802,50-59,M,2021-07-01,1
30802,50-59,M,2022-01-13,1
30802,50-59,M,2022-01-27,1
30802,50-59,M,2022-07-07,1
30802,50-59,M,2022-07-28,1
30802,50-59,M,2022-09-22,1
30802,>= 60,F,2017-09-14,1
30802,>= 60,F,2019-01-17,1
30802,>= 60,F,2019-02-07,3
30802,>= 60,F,2019-02-14,1
30802,>= 60,F,2019-03-28,1
30802,>= 60,F,2019-05-02,1
30802,>= 60,F,2019-05-16,1
30802,>= 60,F,2019-05-30,1
30802,>= 60,F,2019-06-27,1
30802,>= 60,F,2019-07-18,1
30802,>= 60,F,2019-08-15,1
30802,>= 60,F,2019-08-29,1
30802,>= 60,F,2019-09-12,1
30802,>= 60,F,2019-10-17,1
30802,>= 60,F,2021-01-07,1
30802,>= 60,F,2021-01-14,1
30802,>= 60,F,2021-01-21,1
30802,>= 60,F,2021-01-28,1
30802,>= 60,F,2021-02-04,2
30802,>= 60,F,2021-04-15,1
30802,>= 60,F,2021-04-29,1
30802,>= 60,F,2021-05-06,2
30802,>= 60,F,2021-06-10,1
30802,>= 60,F,2021-06-17,2
30802,>= 60,F,2021-07-01,1
30802,>= 60,F,2021-07-08,1
30802,>= 60,F,2021-07-15,2
30802,>= 60,F,2021-08-05,1
30802,>= 60,F,2021-09-30,1
30802,>= 60,F,2021-10-14,1
30802,>= 60,F,2021-11-04,1
30802,>= 60,F,2021-11-18,1
30802,>= 60,F,2021-11-25,1
30802,>= 60,F,2021-12-09,1
30802,>= 60,F,2021-12-30,1
30802,>= 60,F,2022-01-20,2
30802,>= 60,F,2022-01-27,3
30802,>= 60,F,2022-02-10,1
30802,>= 60,F,2022-02-17,1
30802,>= 60,F,2022-04-21,1
30802,>= 60,F,2022-05-19,1
30802,>= 60,F,2022-06-02,1
30802,>= 60,F,2022-06-23,1
30802,>= 60,F,2022-06-30,1
30802,>= 60,F,2022-09-01,1
30802,>= 60,F,2022-10-27,1
30802,>= 60,F,2022-11-10,1
30802,>= 60,F,2023-01-26,1
30802,>= 60,F,2023-02-02,1
30802,>= 60,F,2023-02-16,1
30802,>= 60,F,2023-03-09,1
30802,>= 60,F,2023-03-16,1
30802,>= 60,F,2023-04-06,1
30802,>= 60,F,2023-04-13,1
30802,>= 60,F,2023-06-15,1
30802,>= 60,F,2023-06-22,1
30802,>= 60,F,2023-07-06,1
30802,>= 60,F,2023-07-13,1
30802,>= 60,M,2019-01-24,1
30802,>= 60,M,2019-02-21,1
30802,>= 60,M,2019-04-04,1
30802,>= 60,M,2019-04-25,2
30802,>= 60,M,2019-05-02,1
30802,>= 60,M,2019-05-16,1
30802,>= 60,M,2019-05-30,1
30802,>= 60,M,2019-06-20,1
30802,>= 60,M,2019-07-25,2
30802,>= 60,M,2019-08-08,1
30802,>= 60,M,2019-09-19,1
30802,>= 60,M,2019-10-17,1
30802,>= 60,M,2019-10-24,1
30802,>= 60,M,2021-01-14,1
30802,>= 60,M,2021-02-04,1
30802,>= 60,M,2021-02-11,2
30802,>= 60,M,2021-02-18,1
30802,>= 60,M,2021-02-25,1
30802,>= 60,M,2021-03-11,1
30802,>= 60,M,2021-04-01,1
30802,>= 60,M,2021-04-15,1
30802,>= 60,M,2021-05-06,1
30802,>= 60,M,2021-05-13,1
30802,>= 60,M,2021-05-20,1
30802,>= 60,M,2021-06-10,1
30802,>= 60,M,2021-06-17,2
30802,>= 60,M,2021-06-24,1
30802,>= 60,M,2021-07-01,1
30802,>= 60,M,2021-07-08,2
30802,>= 60,M,2021-07-15,1
30802,>= 60,M,2021-07-22,1
30802,>= 60,M,2021-07-29,2
30802,>= 60,M,2021-08-05,1
30802,>= 60,M,2021-08-26,1
30802,>= 60,M,2021-09-30,2
30802,>= 60,M,2021-10-28,1
30802,>= 60,M,2021-11-25,1
30802,>= 60,M,2021-12-16,1
30802,>= 60,M,2021-12-23,1
30802,>= 60,M,2022-01-13,1
30802,>= 60,M,2022-01-20,1
30802,>= 60,M,2022-02-03,1
30802,>= 60,M,2022-02-17,2
30802,>= 60,M,2022-02-24,1
30802,>= 60,M,2022-03-03,2
30802,>= 60,M,2022-03-17,1
30802,>= 60,M,2022-03-24,1
30802,>= 60,M,2022-03-31,1
30802,>= 60,M,2022-04-14,1
30802,>= 60,M,2022-04-28,1
30802,>= 60,M,2022-05-12,2
30802,>= 60,M,2022-06-23,1
30802,>= 60,M,2022-07-07,1
30802,>= 60,M,2022-09-22,1
30802,>= 60,M,2022-11-24,1
30802,>= 60,M,2022-12-01,1
30802,>= 60,M,2023-01-19,1
30802,>= 60,M,2023-02-02,2
30802,>= 60,M,2023-02-23,1
30802,>= 60,M,2023-06-22,2
30802,>= 60,M,2023-07-06,1
30803,0-19,M,2019-11-21,1
30803,20-39,F,2019-03-28,1
30803,20-39,F,2021-07-01,1
30803,20-39,M,2021-01-28,1
30803,40-49,F,2021-06-10,1
30803,50-59,F,2019-01-31,1
30803,50-59,F,2019-02-21,1
30803,50-59,F,2021-05-06,1
30803,50-59,F,2022-03-17,1
30803,50-59,F,2022-05-19,1
30803,50-59,M,2019-11-21,1
30803,50-59,M,2021-04-22,1
30803,50-59,M,2021-05-27,1
30803,>= 60,F,2017-01-19,1
30803,>= 60,F,2017-08-03,1
30803,>= 60,F,2019-01-17,1
30803,>= 60,F,2019-02-07,1
30803,>= 60,F,2019-04-04,1
30803,>= 60,F,2019-05-23,1
30803,>= 60,F,2019-06-13,1
30803,>= 60,F,2019-07-04,1
30803,>= 60,F,2019-08-01,1
30803,>= 60,F,2019-09-19,1
30803,>= 60,F,2019-09-26,2
30803,>= 60,F,2020-01-09,1
30803,>= 60,F,2021-02-11,1
30803,>= 60,F,2021-04-29,1
30803,>= 60,F,2021-05-20,1
30803,>= 60,F,2021-05-27,1
30803,>= 60,F,2021-07-08,1
30803,>= 60,F,2021-07-15,1
30803,>= 60,F,2022-01-13,1
30803,>= 60,F,2022-02-03,1
30803,>= 60,F,2022-02-24,1
30803,>= 60,F,2022-03-31,1
30803,>= 60,M,2019-02-07,1
30803,>= 60,M,2019-03-07,1
30803,>= 60,M,2019-10-10,1
30803,>= 60,M,2019-11-07,1
30803,>= 60,M,2021-04-08,1
30803,>= 60,M,2021-05-27,1
30803,>= 60,M,2021-06-03,1
30803,>= 60,M,2021-06-17,1
30803,>= 60,M,2021-07-01,1
30803,>= 60,M,2022-01-13,1
30803,>= 60,M,2022-01-27,1
30803,>= 60,M,2022-02-03,1
30803,>= 60,M,2022-03-10,1
30803,>= 60,M,2022-03-17,1
30803,>= 60,M,2022-03-31,1
30803,>= 60,M,2022-05-19,1
30901,0-19,F,2017-03-02,1
30901,0-19,F,2019-08-08,1
30901,0-19,F,2019-10-17,1
30901,0-19,F,2020-09-10,1
30901,0-19,F,2020-11-26,1
30901,0-19,F,2021-01-07,1
30901,0-19,F,2021-04-01,1
30901,0-19,F,2021-05-27,1
30901,0-19,F,2021-06-24,1
30901,0-19,F,2022-03-31,1
30901,0-19,F,2022-09-01,1
30901,0-19,F,2022-10-06,1
30901,0-19,F,2023-03-30,2
30901,0-19,M,2018-06-21,1
30901,0-19,M,2018-07-05,1
30901,0-19,M,2018-09-20,1
30901,0-19,M,2018-11-15,1
30901,0-19,M,2019-04-25,1
30901,0-19,M,2019-05-09,1
30901,0-19,M,2019-08-29,1
30901,0-19,M,2019-09-05,2
30901,0-19,M,2019-09-26,1
30901,0-19,M,2020-01-30,1
30901,0-19,M,2020-11-12,1
30901,0-19,M,2020-12-10,1
30901,0-19,M,2021-04-29,1
30901,0-19,M,2021-06-10,1
30901,0-19,M,2021-07-22,1
30901,0-19,M,2021-09-30,1
30901,0-19,M,2022-07-28,1
30901,0-19,M,2022-08-18,1
30901,0-19,M,2022-11-03,1
30901,0-19,M,2023-02-02,1
30901,0-19,M,2023-04-06,1
30901,0-19,M,2023-04-13,1
30901,0-19,M,2023-05-18,1
30901,0-19,M,2023-07-20,1
30901,20-39,F,2017-03-30,2
30901,20-39,F,2017-04-27,1
30901,20-39,F,2018-01-25,1
30901,20-39,F,2018-02-01,1
30901,20-39,F,2018-02-15,1
30901,20-39,F,2018-04-26,1
30901,20-39,F,2018-11-15,1
30901,20-39,F,2018-11-29,2
30901,20-39,F,2019-07-11,1
30901,20-39,F,2019-07-18,1
30901,20-39,F,2019-08-08,1
30901,20-39,F,2019-10-24,1
30901,20-39,F,2019-12-12,1
30901,20-39,F,2020-01-02,1
30901,20-39,F,2020-01-30,1
30901,20-39,F,2020-02-13,1
30901,20-39,F,2020-07-23,1
30901,20-39,F,2020-07-30,1
30901,20-39,F,2020-08-06,1
30901,20-39,F,2021-04-08,1
30901,20-39,F,2021-04-15,1
30901,20-39,F,2021-05-06,1
30901,20-39,F,2021-05-13,1
30901,20-39,F,2021-05-27,1
30901,20-39,F,2021-06-10,1
30901,20-39,F,2021-06-17,2
30901,20-39,F,2021-06-24,1
30901,20-39,F,2021-07-15,2
30901,20-39,F,2021-10-28,1
30901,20-39,F,2022-01-06,1
30901,20-39,F,2022-01-13,1
30901,20-39,F,2022-01-20,1
30901,20-39,F,2022-02-10,1
30901,20-39,F,2022-03-10,1
30901,20-39,F,2022-05-05,1
30901,20-39,F,2022-06-09,1
30901,20-39,F,2022-06-30,1
30901,20-39,F,2022-08-18,1
30901,20-39,F,2022-10-20,1
30901,20-39,F,2023-02-09,1
30901,20-39,F,2023-07-27,1
30901,20-39,M,2017-03-30,3
30901,20-39,M,2018-04-05,1
30901,20-39,M,2018-05-31,1
30901,20-39,M,2018-06-21,1
30901,20-39,M,2018-07-05,1
30901,20-39,M,2018-07-12,1
30901,20-39,M,2018-11-15,1
30901,20-39,M,2019-04-18,1
30901,20-39,M,2019-07-18,1
30901,20-39,M,2019-08-22,1
30901,20-39,M,2019-08-29,1
30901,20-39,M,2019-09-26,1
30901,20-39,M,2019-11-21,1
30901,20-39,M,2019-12-05,1
30901,20-39,M,2020-01-16,1
30901,20-39,M,2020-02-06,1
30901,20-39,M,2020-07-09,1
30901,20-39,M,2020-07-16,1
30901,20-39,M,2020-07-23,1
30901,20-39,M,2020-08-13,1
30901,20-39,M,2020-09-17,1
30901,20-39,M,2020-10-29,1
30901,20-39,M,2020-11-05,1
30901,20-39,M,2020-11-26,1
30901,20-39,M,2020-12-31,1
30901,20-39,M,2021-01-07,1
30901,20-39,M,2021-01-14,1
30901,20-39,M,2021-02-04,2
30901,20-39,M,2021-02-18,1
30901,20-39,M,2021-03-04,1
30901,20-39,M,2021-04-08,2
30901,20-39,M,2021-05-06,1
30901,20-39,M,2021-06-03,1
30901,20-39,M,2021-06-10,1
30901,20-39,M,2021-06-17,3
30901,20-39,M,2021-06-24,1
30901,20-39,M,2021-07-22,1
30901,20-39,M,2021-09-09,1
30901,20-39,M,2021-09-23,1
30901,20-39,M,2021-10-07,1
30901,20-39,M,2021-10-21,1
30901,20-39,M,2021-11-11,1
30901,20-39,M,2021-11-18,1
30901,20-39,M,2021-12-30,1
30901,20-39,M,2022-02-10,1
30901,20-39,M,2022-03-24,1
30901,20-39,M,2022-06-23,1
30901,20-39,M,2022-07-21,1
30901,20-39,M,2022-09-08,1
30901,20-39,M,2022-09-29,1
30901,20-39,M,2022-12-08,1
30901,20-39,M,2022-12-29,1
30901,20-39,M,2023-03-02,1
30901,20-39,M,2023-06-08,2
30901,40-49,F,2017-03-30,1
30901,40-49,F,2017-04-27,1
30901,40-49,F,2017-06-29,1
30901,40-49,F,2018-10-11,1
30901,40-49,F,2019-07-18,1
30901,40-49,F,2019-11-07,1
30901,40-49,F,2019-11-28,1
30901,40-49,F,2020-01-09,1
30901,40-49,F,2020-01-30,1
30901,40-49,F,2020-07-02,2
30901,40-49,F,2020-07-09,2
30901,40-49,F,2020-08-06,1
30901,40-49,F,2020-08-13,1
30901,40-49,F,2020-08-27,1
30901,40-49,F,2020-09-24,1
30901,40-49,F,2021-02-04,1
30901,40-49,F,2021-03-18,1
30901,40-49,F,2021-04-15,1
30901,40-49,F,2021-04-22,2
30901,40-49,F,2021-04-29,1
30901,40-49,F,2021-05-06,1
30901,40-49,F,2021-05-20,1
30901,40-49,F,2021-06-10,2
30901,40-49,F,2021-06-17,1
30901,40-49,F,2021-07-01,1
30901,40-49,F,2021-07-08,1
30901,40-49,F,2021-07-29,1
30901,40-49,F,2021-08-12,2
30901,40-49,F,2021-09-23,1
30901,40-49,F,2021-12-09,1
30901,40-49,F,2021-12-23,1
30901,40-49,F,2022-01-06,1
30901,40-49,F,2022-01-13,1
30901,40-49,F,2022-01-20,2
30901,40-49,F,2022-02-10,1
30901,40-49,F,2022-02-24,1
30901,40-49,F,2022-03-17,1
30901,40-49,F,2022-04-07,1
30901,40-49,F,2022-05-12,1
30901,40-49,F,2022-06-23,1
30901,40-49,F,2022-08-18,1
30901,40-49,F,2022-09-22,1
30901,40-49,F,2022-10-13,1
30901,40-49,F,2022-11-24,1
30901,40-49,F,2022-12-29,1
30901,40-49,F,2023-02-02,1
30901,40-49,F,2023-02-16,1
30901,40-49,F,2023-02-23,1
30901,40-49,F,2023-06-08,1
30901,40-49,F,2023-06-15,1
30901,40-49,F,2023-07-06,1
30901,40-49,M,2017-03-30,2
30901,40-49,M,2018-02-15,1
30901,40-49,M,2018-03-22,1
30901,40-49,M,2018-04-05,1
30901,40-49,M,2018-05-03,1
30901,40-49,M,2018-10-11,1
30901,40-49,M,2018-12-13,1
30901,40-49,M,2019-03-21,1
30901,40-49,M,2019-10-03,1
30901,40-49,M,2019-10-10,1
30901,40-49,M,2019-10-17,2
30901,40-49,M,2019-12-12,1
30901,40-49,M,2020-01-16,1
30901,40-49,M,2020-03-12,1
30901,40-49,M,2020-07-09,1
30901,40-49,M,2020-07-23,1
30901,40-49,M,2020-07-30,1
30901,40-49,M,2020-08-06,1
30901,40-49,M,2020-10-01,1
30901,40-49,M,2021-01-14,1
30901,40-49,M,2021-01-21,1
30901,40-49,M,2021-01-28,1
30901,40-49,M,2021-02-25,1
30901,40-49,M,2021-03-18,1
30901,40-49,M,2021-03-25,1
30901,40-49,M,2021-05-06,1
30901,40-49,M,2021-05-20,1
30901,40-49,M,2021-05-27,5
30901,40-49,M,2021-06-03,2
30901,40-49,M,2021-06-10,5
30901,40-49,M,2021-06-17,1
30901,40-49,M,2021-06-24,3
30901,40-49,M,2021-07-08,1
30901,40-49,M,2021-07-22,1
30901,40-49,M,2021-08-05,1
30901,40-49,M,2021-10-14,1
30901,40-49,M,2021-10-21,1
30901,40-49,M,2021-11-18,1
30901,40-49,M,2021-11-25,1
30901,40-49,M,2021-12-02,1
30901,40-49,M,2021-12-09,1
30901,40-49,M,2022-01-20,2
30901,40-49,M,2022-03-03,1
30901,40-49,M,2022-03-10,2
30901,40-49,M,2022-04-28,1
30901,40-49,M,2022-05-05,1
30901,40-49,M,2022-05-19,1
30901,40-49,M,2022-06-30,1
30901,40-49,M,2022-07-14,1
30901,40-49,M,2022-07-28,2
30901,40-49,M,2022-10-13,1
30901,40-49,M,2022-12-15,1
30901,40-49,M,2022-12-29,1
30901,40-49,M,2023-02-02,2
30901,40-49,M,2023-04-06,1
30901,40-49,M,2023-07-13,1
30901,40-49,M,2023-07-27,1
30901,50-59,F,2017-03-30,1
30901,50-59,F,2018-01-25,1
30901,50-59,F,2018-02-08,1
30901,50-59,F,2018-03-29,2
30901,50-59,F,2018-06-21,1
30901,50-59,F,2018-12-20,1
30901,50-59,F,2019-03-28,1
30901,50-59,F,2019-05-02,1
30901,50-59,F,2019-07-25,1
30901,50-59,F,2019-08-01,1
30901,50-59,F,2019-08-22,1
30901,50-59,F,2019-09-26,1
30901,50-59,F,2019-10-31,1
30901,50-59,F,2019-11-28,1
30901,50-59,F,2019-12-05,1
30901,50-59,F,2019-12-12,1
30901,50-59,F,2019-12-26,1
30901,50-59,F,2020-01-09,1
30901,50-59,F,2020-03-26,1
30901,50-59,F,2020-05-14,1
30901,50-59,F,2020-06-18,2
30901,50-59,F,2020-07-02,1
30901,50-59,F,2020-07-09,1
30901,50-59,F,2020-07-16,3
30901,50-59,F,2020-08-06,1
30901,50-59,F,2020-08-13,1
30901,50-59,F,2020-11-19,1
30901,50-59,F,2020-11-26,1
30901,50-59,F,2020-12-17,1
30901,50-59,F,2021-01-21,4
30901,50-59,F,2021-02-25,2
30901,50-59,F,2021-03-18,2
30901,50-59,F,2021-04-08,1
30901,50-59,F,2021-04-29,1
30901,50-59,F,2021-05-06,2
30901,50-59,F,2021-05-20,3
30901,50-59,F,2021-05-27,2
30901,50-59,F,2021-06-03,4
30901,50-59,F,2021-06-17,1
30901,50-59,F,2021-06-24,2
30901,50-59,F,2021-07-01,2
30901,50-59,F,2021-07-22,1
30901,50-59,F,2021-07-29,2
30901,50-59,F,2021-08-05,1
30901,50-59,F,2021-08-12,2
30901,50-59,F,2021-11-18,1
30901,50-59,F,2021-12-16,4
30901,50-59,F,2021-12-23,1
30901,50-59,F,2021-12-30,1
30901,50-59,F,2022-01-20,3
30901,50-59,F,2022-01-27,2
30901,50-59,F,2022-02-10,1
30901,50-59,F,2022-02-24,1
30901,50-59,F,2022-03-03,1
30901,50-59,F,2022-04-07,1
30901,50-59,F,2022-05-19,1
30901,50-59,F,2022-05-26,1
30901,50-59,F,2022-06-23,1
30901,50-59,F,2022-07-07,1
30901,50-59,F,2022-07-21,1
30901,50-59,F,2022-08-11,1
